Token,Lecturer,Title,ZoomRecording,LogoPosition,Part 1 Start,Part 1 End,PreRecordedFileName,Part 3 Start,Part 3 End,Comment,Timing by,Double checked by
khalighi-persian-math,Vafa Khalighi,Typesetting mathematics in Persian,GMT20220723-191622_Recording_gallery_2560x1440.mp4,,3:44:20,4:18:02,,,,,Paulo Ney,
veytsman-interview,Paulo Ney de Souza,Interview with Boris Veytsman,GMT20220723-191622_Recording_gallery_2560x1440.mp4,,5:49:02,6:27:51,,,,,Norbert,
moore-tables,Ross Moore,Accessible tables using Tagged PDF,GMT20220723-191622_Recording_gallery_2560x1440.mp4,,6:28:40,7:22:12,,,,,Paulo Ney,
khalighi-bidi-multicol,Vafa Khalighi,Bidirectional multi-columns and paragraph footnotes in TeX,GMT20220723-191622_Recording_gallery_2560x1440.mp4,,7:22:03,7:50:06,,,,,Paulo Ney,
cvr-submissions,Apu V,LaTeX profiling of author submissions,GMT20220724-060654_Recording_gallery_3840x2160.mp4,,0:52:49,1:38:58,,,,,Paulo Ney,
baranovskyi-vakthesis,Oleksandr Baranovskyi,LaTeX classes for doctoral theses in Ukraine: Interesting tips and painful problems,GMT20220724-060654_Recording_gallery_3840x2160.mp4,,1:39:12,2:26:28,,,,,Paulo Ney,
mueller-stex3,"Dennis Müller, Michael Kohlhase",sTeX3&mdash;A LaTeX-based ecosystem for semantic/active mathematical documents,GMT20220724-060654_Recording_gallery_3840x2160.mp4,,2:26:29,3:14:20,,,,,Paulo Ney,
hufflen-extract,Jean-Michel Hufflen,Extracting information from (La)TeX source files,GMT20220724-060654_Recording_gallery_3840x2160.mp4,,,,,,,"Author has agreed to rerecord, for the end of August.",,
sundqvist-lmtx-math,Mikael P. Sundqvist,Pushing math forward with <tt>luametatex</tt> and ConTeXt,GMT20220724-060654_Recording_gallery_3840x2160.mp4,,4:53:05,5:39:50,,,,,Paulo Ney,
fischer-spotcolor,Ulrike Fischer,Using spot colors with LaTeX,GMT20220724-060654_Recording_gallery_3840x2160.mp4,,5:40:10,5:41:15,Ulrike_Fischer-spotcolors.mp4,6:12:00,6:20:21,,Paulo Ney,
wright-keyval,Joseph Wright,Key&ndash;value setting handling in the kernel,GMT20220724-060654_Recording_gallery_3840x2160.mp4,,6:23:09,6:23:46,Joseph_Wright-2022-07-22-siunitx.mp4,6:37:24,6:53:12,,Paulo Ney,
thurman-yex,Marnanel Thurman,Building a TeX-alike in Python,GMT20220724-060654_Recording_gallery_3840x2160.mp4,,7:08:15,7:09:45,Marnanel_Thurman-no-subs.mp4,7:26:18,7:46:30,"Be careful. There are two videos, use the one WITHOUT the subtitles for YT.",Paulo Ney,
ohri-mathtrans,"Aditya Ohri, Tanya Schmah",Machine translation of mathematical text,GMT20220724-060654_Recording_gallery_3840x2160.mp4,,8:55:49,END,,,,Talk spans two videos.,Paulo Ney,
,,,GMT20220724-151151_Recording_gallery_3840x2160.mp4,,BEGIN,0:38:36,,,,,Paulo Ney,
,,,,,,,,,,,,
fine-access,Jonathan Fine,Access and accessibility,GMT20220724-151151_Recording_gallery_3840x2160.mp4,,0:39:17,1:40:05,,,,,Paulo Ney,
goswami-numpy,Rohit Goswami,TeX documentation and CI constraints for NumPy,GMT20220724-151151_Recording_gallery_3840x2160.mp4,,,,,,,Talk was cancelled,Paulo Ney,
lees-miller-interview,Paulo Ney de Souza,Interview with John Lees-Miller,GMT20220724-151151_Recording_gallery_3840x2160.mp4,,2:04:06,2:28:01,,,,,Norbert,
spicer-chm,Dag Spicer,"A walk through 2,000 years of computer history",GMT20220724-151151_Recording_gallery_3840x2160.mp4,,3:50:22,4:40:15,,,,,Paulo Ney,
park-music,Emily Park,Musical composition typesetting,GMT20220724-151151_Recording_gallery_3840x2160.mp4,,4:40:28,5:01:25,,,,This talk has several empty spaces in the Q&A that could be edited out for a more pleasant presentation.,Paulo Ney,
matteson-adapt,Steven Matteson,Type design: Catching up to the past,GMT20220724-151151_Recording_gallery_3840x2160.mp4,,5:18:30,6:03:49,,,,,Paulo Ney,
veytsman-closing,Boris Veytsman,Conference closing,GMT20220724-151151_Recording_gallery_3840x2160.mp4,,6:03:50,6:08:26,,,,,Paulo Ney,
